Türkçe,Zever
ben,nyxdravekmav
sen,zornyxqazphar
o,mavvekzhe
biz,qazvokphar
siz,drazheqaz
onlar,qynzhevok
benim,phardruvok
senin,krozordrazhe
onun,qelvekkroaev
bizim,vokzundruqyn
sizin,draulvvekphar
onların,nyxqorvek
bana,rynvravok
sana,draqynqelkro
ona,vokrynqynnyx
bize,tharynxel
size,nyxvekqyn
onlara,qorzhekro
beni,aevqordravra
seni,qeldraqelzor
onu,qelqynzhedru
bizi,nyxvraulvzhe
sizi,pharvraskor
onları,qaznyxzunqel
bende,ulvzorzhephar
sende,vekdruphar
onda,mavvravraulv
bizde,zorkrovra
sizde,zheaevnyx
onlarda,xelqelqyntha
benimle,vekqoraev
seninle,nyxdraskor
onunla,pharvraqyn
bizimle,mavthaqel
sizinle,qynvokqorzhe
onlarla,pharzorulvdru
var,thazunmavqaz
yok,skorvokvra
bu,krozunskor
şu,skorkroaev
bunlar,qynaevqynzun
şunlar,mavulvdra
burada,nyxdruqeltha
orada,kroaevvekvek
şurada,vekthanyxqor
burda,mavveknyxxel
kim,qazthavokzor
ne,krothatha
hangi,zhevokmav
hangisi,qelqelvravek
nasıl,ulvulvdraskor
neden,zunmavmav
niye,vrapharzunqel
nerede,skorkroskorvra
nereye,krovekvra
nereden,kroqynskorvok
zaman,nyxthaulvqelvv
kaç,vekqynzunxel
tane,aevdrapharskor
kendi,druxelryn
kendim,xelvradru
kendin,zorzundraskor
kendisi,zhethaqorphar
herkes,qelqaznyx
biri,vokdramav
birisi,qelrynqaz
hepsi,qazthazheqyn
hiçbiri,aevzunphar
bir,thazheqazqyn
şey,thaulvnyx
hiçbir,zhekrophar
evet,xelthathatha
hayır,drunyxnyxaev
değil,kroaevzhe
tamam,vekdruvoktha
merhaba,krozorskorzor
selam,kyrqynnaxaevv
naber,zunkroqazryn
nasılsın,mavkroxel
haber,nyxvokmavzun
yapıyorsun,zornyxzhe
yapıyon,qeldraqaz
yapıyosun,qazrynqorzhe
yaptın,dravekaevqaz
oldu,qelvoktha
hadi,pharxelulvvokv
haydi,pharrynzor
bakalım,qazdraryn
günaydın,vekulvqel
iyi,thaxelpharxel
akşamlar,vekvokulvtha
geceler,qazzunphar
hoş,xelnyxzun
geldin,nyxvokaevphar
bulduk,qynthynzunqaz
görüşürüz,vekdranyxqor
güle,zordrukrozylv
kendine,vravrazorryn
bak,vokzunnyx
lütfen,qorzheskor
teşekkür,qelqynvra
teşekkürler,zorqelqelzhe
sağol,rynqynqyn
sağolasın,vravranyxqor
rica,thakrodruqyn
ederim,mavdranyx
özür,kroqazryn
pardon,vrazhekrovok
affedersin,xelqorvok
kusura,aevkrozunqel
bakma,rynqelvravra
sorun,qynzunmav
sıkıntı,thadruxel
boşver,zorulvqazskor
eyvallah,kroxelvek
aynen,xelzhephar
kesin,vokqorzheulv
cidden,qynrynvoknyx
harbi,xelulvaev
gerçekten,xelnyxzun
galiba,thanyxvra
sanırım,thazortha
belki,aevvekzun
tabii,drazheulvdru
tabi,zordrunyxqel
peki,zorxelvraqel
tmm,pharzunkro
lan,drakromavnyx
la,vekdruaev
ulan,druvraryn
aga,xelruxskorxurvvv
kanka,qazqynnyxvek
knk,drazheskorqaz
dostum,mavskorqordra
bro,pharkroqaz
abi,zorxeldra
abla,thazhezorskor
reis,drurynvekzun
kardeşim,krodrudrutha
oğlum,zorvokryn
olum,vokvoknyx
kızım,vekpharskorulv
beyler,pharthynskorxur
arkadaş,qynskoraev
arkadaşım,nyxulvzor
adamım,nyxqyndruzor
canım,vekzhevrazun
tatlım,qorskorskor
sevgili,qynzunthadra
hayatım,zhezhekro
olmak,zhepharqaz
yapmak,zunzunnyx
etmek,nyxqazskorvra
gitmek,nyxthaqaz
gelmek,aevthaaevnyx
almak,qynaevqyndru
vermek,drukrozhe
görmek,vraqynryn
bakmak,qorqorzunzun
söylemek,vrazhedratha
konuşmak,zunpharqorvra
dinlemek,aevqormavzor
duymak,vekqyntha
bilmek,xelqazvok
anlamak,kroqelqelqyn
düşünmek,mavrynvra
istemek,ulvskorskorkro
sevmek,dravekdraskor
nefret,vrazhevra
çalışmak,kroulvmavvra
oynamak,qynthavra
yazmak,mavnyxpharkro
okumak,pharkrozhe
öğrenmek,qynvravok
öğretmek,ulvaevphar
beklemek,vokskordruqyn
bulmak,ulvaevdraqor
kaybetmek,mavpharulvxel
aramak,zundrumavphar
kullanmak,pharqazdru
göndermek,vekzheqel
getirmek,rynqynvek
götürmek,thazorqynqyn
bırakmak,pharskordra
tutmak,voknyxdruskor
başlamak,pharzheulvqyn
bitirmek,qeldrudruvra
kazanmak,rynzhevekqaz
sormak,vranyxvektha
cevaplamak,pharvokskorqaz
yaşamak,aevpharulvdru
ölmek,xelqynnyx
yemek,druaevmav
içmek,xelzhezor
uyumak,ryndrurynulv
kalkmak,mavvraqaz
oturmak,drudraqel
koşmak,qynulvulvkro
yürümek,thadruxel
açmak,skormavskorryn
kapatmak,pharthadra
girmek,dravekmav
çıkmak,zheulvkromav
dönmek,pharvekqazdra
kalmak,mavzhenyx
geçmek,vekqoraev
durmak,mavkrophar
geliyorum,qynqynvra
gidiyorum,vokqelzor
geliyorsun,zorvekvok
gidiyorsun,dravekxel
yapıyorum,krovokqazvek
yapıyor,qynvokqel
yapacağız,xelzorvraryn
yapalım,nyxzorphar
istiyorum,vokqazskorvok
istiyorsun,vrarynqazkro
istiyor,qelpharvra
istemiyorum,aevthaqaz
biliyorum,dradraaev
bilmiyorum,vradradrazor
anlıyorum,mavqelrynaev
anlamıyorum,vokvokskorvra
düşünüyorum,zunzornyxmav
görüyorum,zorvekqyn
gördüm,vokqynzunqaz
gördün,qorzunxelphar
gördü,thaaevdruzhe
söyledim,qorskoraev
söyledin,draxelqor
